TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Product Name,StoreName,GroupStore,Type,Age,Gender,Marital Status,Income
TR11369,328,2022-01-01,P3,7500,4,30000,12,Crackers,Prestasi Utama,Prestasi,General Trade,36,Wanita,Married,10530000
TR16356,165,2022-01-01,P9,10000,7,70000,1,Yoghurt,Prima Tendean,Prima,Modern Trade,44,Pria,Married,14580000
TR1984,183,2022-01-01,P1,8800,4,35200,4,Choco Bar,Gita Ginara,Gita,General Trade,27,Pria,Single,180000
TR35256,160,2022-01-01,P1,8800,7,61600,4,Choco Bar,Gita Ginara,Gita,General Trade,48,Pria,Married,12570000
TR41231,386,2022-01-01,P9,10000,1,10000,4,Yoghurt,Gita Ginara,Gita,General Trade,33,Wanita,Married,6950000
TR51675,283,2022-01-01,P10,15000,1,15000,5,Cheese Stick,Bonafid,Gita,General Trade,19,Pria,Single,0
TR54287,51,2022-01-01,P8,16000,2,32000,2,Oat,Prima Kelapa Dua,Prima,Modern Trade,36,Wanita,Married,7950000
TR67455,49,2022-01-01,P5,4200,3,12600,13,Thai Tea,Buana,Buana,General Trade,44,Pria,Married,13480000
TR73041,222,2022-01-01,P9,10000,6,60000,4,Yoghurt,Gita Ginara,Gita,General Trade,45,Wanita,Married,15030000
TR7596,270,2022-01-01,P7,9400,2,18800,14,Coffee Candy,Priangan,Priangan,Modern Trade,49,Pria,Married,8810000
TR76340,287,2022-01-01,P4,12000,4,48000,12,Potato Chip,Prestasi Utama,Prestasi,General Trade,36,Wanita,Single,370000
TR97336,233,2022-01-01,P7,9400,2,18800,12,Coffee Candy,Prestasi Utama,Prestasi,General Trade,43,Pria,Married,5690000
TR99839,123,2022-01-01,P2,3200,6,19200,1,Ginger Candy ,Prima Tendean,Prima,Modern Trade,34,Wanita,Married,4360000
TR14355,203,2022-01-02,P3,7500,4,30000,10,Crackers,Harapan Baru,Harapan Baru,General Trade,53,Wanita,Married,1720000
TR16534,421,2022-01-02,P3,7500,2,15000,14,Crackers,Priangan,Priangan,Modern Trade,35,Wanita,Married,9010000
TR2045,32,2022-01-02,P7,9400,4,37600,5,Coffee Candy,Bonafid,Gita,General Trade,34,Wanita,Married,10960000
TR20925,159,2022-01-02,P10,15000,2,30000,13,Cheese Stick,Buana,Buana,General Trade,53,Pria,Married,13650000
TR26678,321,2022-01-02,P6,18000,3,54000,12,Cashew,Prestasi Utama,Prestasi,General Trade,45,Wanita,Married,8030000
TR29436,335,2022-01-02,P6,18000,3,54000,3,Cashew,Prima Kota,Prima,Modern Trade,29,Pria,Single,4740000
TR30993,14,2022-01-02,P10,15000,2,30000,6,Cheese Stick,Lingga,Lingga,Modern Trade,58,Pria,Married,10180000
TR33449,18,2022-01-02,P6,18000,2,36000,9,Cashew,Lingga,Lingga,Modern Trade,47,Wanita,Married,1360000
TR34291,333,2022-01-02,P7,9400,2,18800,7,Coffee Candy,Buana Indah,Buana,General Trade,47,Wanita,Married,17990000
TR3533,24,2022-01-02,P6,18000,3,54000,10,Cashew,Harapan Baru,Harapan Baru,General Trade,37,Wanita,Married,9530000
TR46701,48,2022-01-02,P2,3200,6,19200,9,Ginger Candy ,Lingga,Lingga,Modern Trade,32,Wanita,Married,10620000
TR48742,87,2022-01-02,P5,4200,2,8400,3,Thai Tea,Prima Kota,Prima,Modern Trade,44,Pria,Married,9570000
TR63499,118,2022-01-02,P1,8800,7,61600,14,Choco Bar,Priangan,Priangan,Modern Trade,20,Pria,Single,3280000
TR66576,250,2022-01-02,P7,9400,5,47000,5,Coffee Candy,Bonafid,Gita,General Trade,30,Pria,Married,3960000
TR7826,181,2022-01-02,P1,8800,10,88000,12,Choco Bar,Prestasi Utama,Prestasi,General Trade,33,Pria,Married,9940000
